Pull Count,Theoretical Probability,Actual Probability
1,0.006,0.008286252354048965
2,0.005964,0.010922787193973634
3,0.005928216,0.004519774011299435
4,0.005892646704,0.007532956685499058
5,0.005857290823776,0.004143126177024482
6,0.005822147078833344,0.012806026365348399
7,0.005787214196360344,0.0064030131826741995
8,0.0057524909111821825,0.005649717514124294
9,0.005717975965715089,0.008286252354048965
10,0.005683668109920798,0.008662900188323917
11,0.005649566101261274,0.005649717514124294
12,0.005615668704653705,0.0064030131826741995
13,0.005581974692425783,0.006779661016949152
14,0.005548482844271228,0.007156308851224105
15,0.005515191947205601,0.005649717514124294
16,0.005482100795522367,0.004143126177024482
17,0.005449208190749233,0.008286252354048965
18,0.005416512941604738,0.006026365348399247
19,0.00538401386395511,0.0064030131826741995
20,0.005351709780771379,0.006779661016949152
21,0.00531959952208675,0.004143126177024482
22,0.00528768192495423,0.006779661016949152
23,0.005255955833404505,0.007532956685499058
24,0.005224420098404077,0.004143126177024482
25,0.005193073577813653,0.007156308851224105
26,0.005161915136346771,0.004143126177024482
27,0.00513094364552869,0.003766478342749529
28,0.005100157983655518,0.0026365348399246705
29,0.0050695570357535856,0.004896421845574388
30,0.005039139693539064,0.005273069679849341
31,0.005008904855377829,0.007909604519774011
32,0.004978851426245562,0.007156308851224105
33,0.004948978317688089,0.006026365348399247
34,0.004919284447781959,0.004143126177024482
35,0.004889768741095268,0.004143126177024482
36,0.0048604301286486965,0.007156308851224105
37,0.004831267547876804,0.0022598870056497176
38,0.004802279942589543,0.0064030131826741995
39,0.004773466262934007,0.004143126177024482
40,0.004744825465356403,0.004896421845574388
41,0.004716356512564264,0.004143126177024482
42,0.004688058373488879,0.005273069679849341
43,0.004659930023247946,0.0030131826741996233
44,0.004631970443108458,0.003389830508474576
45,0.004604178620449807,0.006779661016949152
46,0.004576553548727109,0.0030131826741996233
47,0.004549094227434746,0.005649717514124294
48,0.0045217996620701365,0.0022598870056497176
49,0.004494668864097716,0.004519774011299435
50,0.00446770085091313,0.004519774011299435
51,0.004440894645807651,0.003766478342749529
52,0.0044142492779328055,0.006026365348399247
53,0.004387763782265209,0.004896421845574388
54,0.004361437199571617,0.003389830508474576
55,0.004335268576374188,0.003766478342749529
56,0.004309256964915942,0.003389830508474576
57,0.004283401423126446,0.0030131826741996233
58,0.004257701014587688,0.004896421845574388
59,0.004232154808500162,0.005273069679849341
60,0.0042067618796491615,0.005273069679849341
61,0.004181521308371266,0.0022598870056497176
62,0.004156432180521039,0.004143126177024482
63,0.004131493587437912,0.003389830508474576
64,0.004106704625913285,0.0030131826741996233
65,0.004082064398157804,0.004519774011299435
66,0.004057572011768857,0.005649717514124294
67,0.004033226579698244,0.004143126177024482
68,0.004009027220220055,0.0018832391713747645
69,0.003984973056898735,0.0030131826741996233
70,0.003961063218557342,0.004519774011299435
71,0.003937296839245998,0.004519774011299435
72,0.003913673058210522,0.0030131826741996233
73,0.0038901910198612588,0.0022598870056497176
74,0.04253534861116301,0.039171374764595104
75,0.07584439342357738,0.07457627118644068
76,0.0978537140675431,0.09943502824858758
77,0.105347414622264,0.10207156308851224
78,0.09880559711913513,0.096045197740113
79,0.08201639506747972,0.08060263653483993
80,0.06052272143553331,0.05725047080979284
81,0.039633005780615294,0.03427495291902072
82,0.02288634830101852,0.021092278719397364
83,0.011532204560383551,0.009416195856873822
84,0.00499355875488925,0.004896421845574388
85,0.0018181052569377857,0.0026365348399246705
86,0.0005393311577894619,0.0
87,0.00012422731568808565,0.0007532956685499058
88,2.048781559582088e-05,0.0
89,2.053394710113599e-06,0.0
90,7.227269166031309e-08,0.0
