Pull Count,Theoretical Probability,Actual Probability
1,0.007,0.00949367088607595
2,0.006951,0.007911392405063292
3,0.006902343,0.006329113924050633
4,0.006854026599,0.012658227848101266
5,0.006806048412806999,0.004746835443037975
6,0.00675840607391735,0.006329113924050633
7,0.00671109723139993,0.006329113924050633
8,0.0066641195507801294,0.006329113924050633
9,0.006617470713924669,0.007911392405063292
10,0.006571148418927196,0.006329113924050633
11,0.0065251503799947045,0.011075949367088608
12,0.0064794743273347425,0.011075949367088608
13,0.006434118007043399,0.0031645569620253164
14,0.0063890791809940945,0.006329113924050633
15,0.006344355626727137,0.011075949367088608
16,0.006299945137340046,0.004746835443037975
17,0.006255845521378666,0.006329113924050633
18,0.006212054602729015,0.011075949367088608
19,0.006168570220509912,0.0031645569620253164
20,0.006125390228966343,0.004746835443037975
21,0.006082512497363579,0.012658227848101266
22,0.006039934909882034,0.0031645569620253164
23,0.005997655365512859,0.0015822784810126582
24,0.005955671777954269,0.012658227848101266
25,0.005913982075508589,0.00949367088607595
26,0.005872584200980029,0.00949367088607595
27,0.005831476111573169,0.004746835443037975
28,0.005790655778792156,0.0031645569620253164
29,0.005750121188340611,0.00949367088607595
30,0.005709870340022227,0.004746835443037975
31,0.005669901247642071,0.011075949367088608
32,0.005630211938908576,0.00949367088607595
33,0.005590800455336217,0.007911392405063292
34,0.005551664852148863,0.006329113924050633
35,0.005512803198183821,0.0031645569620253164
36,0.005474213575796534,0.004746835443037975
37,0.005435894080765958,0.006329113924050633
38,0.005397842822200597,0.006329113924050633
39,0.005360057922445193,0.0031645569620253164
40,0.005322537516988076,0.004746835443037975
41,0.0052852797543691595,0.0015822784810126582
42,0.005248282796088575,0.007911392405063292
43,0.005211544816515955,0.006329113924050633
44,0.005175064002800343,0.006329113924050633
45,0.005138838554780741,0.007911392405063292
46,0.005102866684897276,0.0031645569620253164
47,0.005067146618102996,0.00949367088607595
48,0.005031676591776274,0.0031645569620253164
49,0.00499645485563384,0.004746835443037975
50,0.004961479671644404,0.0031645569620253164
51,0.004926749313942893,0.004746835443037975
52,0.004892262068745292,0.0015822784810126582
53,0.004858016234264076,0.0015822784810126582
54,0.004824010120624227,0.004746835443037975
55,0.004790242049779857,0.004746835443037975
56,0.004756710355431398,0.0031645569620253164
57,0.0047234133829433785,0.0031645569620253164
58,0.004690349489262775,0.0015822784810126582
59,0.004657517042837936,0.0031645569620253164
60,0.004624914423538071,0.007911392405063292
61,0.004592540022573304,0.004746835443037975
62,0.004560392242415292,0.006329113924050633
63,0.049813164463902236,0.056962025316455694
64,0.08777532425489246,0.09335443037974683
65,0.11052585234629149,0.10759493670886076
66,0.11445843347977404,0.11075949367088607
67,0.10151346382012252,0.0949367088607595
68,0.07807181551797383,0.0680379746835443
69,0.05206878148717589,0.04113924050632911
70,0.02987941357932404,0.02531645569620253
71,0.0145350436205692,0.012658227848101266
72,0.0058560253215486635,0.004746835443037975
73,0.0018856981339873972,0.0015822784810126582
74,0.00045839452927371116,0.0
75,7.593059132423957e-05,0.0
76,6.783326032576901e-06,0.0
77,9.443736880814435e-08,0.0
78,-5.739415453989005e-09,0.0
79,7.741794125110512e-10,0.0
80,-1.2741298601894495e-10,0.0
81,-0.0,0.0
82,0.0,0.0
83,-0.0,0.0
84,0.0,0.0
85,-0.0,0.0
86,0.0,0.0
87,-0.0,0.0
88,0.0,0.0
89,-0.0,0.0
90,0.0,0.0
